ID	LAMBX	LAMBY	ALT	beta_pm10
2912	232070	171198	90.0	0.5633
2913	229048	171405	75.1	0.641
2914	226026	171613	69.5	0.5848
2915	223002	171821	55.7	0.5806
2916	235305	174041	81.3	0.5331
2917	232280	174249	68.9	0.5776
2918	229256	174459	59.8	0.6276
2919	226235	174665	51.7	0.5373
2920	223214	174873	46.9	0.5759
2921	235512	177093	83.4	0.3043
2922	232491	177302	55.2	0.4601
2923	229468	177509	47.8	0.5678
2924	226445	177719	41.4	0.6138
2925	223423	177925	48.4	0.66
2926	225389	162457	97.1	0.5028
2927	222367	162664	89.9	0.4724
2928	250840	179100	117.2	0.6248
2929	247819	179312	94.3	0.5629
2930	244795	179519	41.1	0.5891
2931	241770	179729	48.7	0.4799
2932	238746	179937	81.2	0.0497
2933	249780	163842	146.3	0.5369
2934	246755	164052	95.2	0.5582
2935	243733	164260	61.9	0.5367
2936	240713	164469	89.9	0.7537
2937	237689	164677	103.0	0.4987
2938	249991	166894	139.1	0.6023
2939	246967	167102	95.8	0.5257
2940	243947	167312	58.3	0.5147
2941	240926	167521	91.6	0.4747
2942	237903	167730	98.0	0.4846
2943	250202	169945	133.2	0.5644
2944	247182	170155	88.0	0.606
2945	244160	170364	54.3	0.7371
2946	241136	170573	74.3	0.6552
2947	238115	170780	82.9	0.473
2948	250415	172998	111.2	0.4929
2949	247393	173207	75.6	0.5848
2950	244371	173415	47.5	0.7708
2951	241346	173625	60.2	0.7035
2952	238325	173834	74.2	0.4741
2953	250627	176050	114.2	0.5638
2954	247604	176258	75.4	0.5802
2955	244582	176469	44.7	0.6857
2956	241557	176676	52.5	0.6532
2957	238534	176886	79.4	0.4902
2958	258843	163213	160.9	0.5412
2959	255820	163423	191.1	0.487
2960	252801	163632	178.8	0.5989
2961	265103	165844	186.9	0.5187
2962	262081	166055	161.1	0.5057
2963	259058	166264	131.2	0.4951
2964	256034	166475	150.3	0.5785
2965	253013	166685	174.9	0.601
2966	265316	168896	175.5	0.5788
2967	262291	169105	156.0	0.5864
2968	259271	169316	130.3	0.5569
2969	256250	169526	135.5	0.5621
2970	253225	169736	158.0	0.597
2971	265527	171947	170.7	0.7242
2972	262503	172158	177.8	0.6192
2973	259483	172368	157.6	0.5988
2974	256461	172578	111.4	0.5961
2975	253438	172787	113.7	0.5391
2976	265739	174999	149.1	0.763
2977	262718	175210	118.9	0.628
2978	259695	175419	101.9	0.5433
2979	256672	175631	114.8	0.4229
2980	253650	175840	124.0	0.5808
2981	280210	164788	202.2	0.5426
2982	277190	165000	204.2	0.5247
2983	274168	165211	171.4	0.8935
2984	271146	165422	174.0	0.7419
2985	268125	165633	206.5	0.609
2986	280426	167840	200.2	0.2059
2987	277406	168051	190.0	0.483
2988	274383	168263	191.9	0.653
2989	271359	168474	172.6	0.5397
2990	268338	168684	182.9	0.501
2991	280640	170892	181.4	0.4911
2992	277619	171103	179.8	0.5081
2993	274595	171314	174.1	0.4794
2994	271570	171526	158.8	0.8481
2995	268550	171738	156.2	0.4809
2996	280853	173943	150.7	0.585
2997	277832	174155	166.6	0.6435
2998	274809	174366	155.6	0.8098
2999	271785	174578	133.3	0.5816
3000	268761	174789	140.3	0.6427
3001	24058	194159	-0.5	0.412
3002	21037	194355	0.6	0.4595
3003	18009	194544	1.2	0.4868
3004	14982	194738	3.5	0.4721
3005	11960	194928	4.3	0.2497
3006	24257	197215	2.1	0.3536
3007	21235	197405	3.3	0.3348
3008	18207	197598	2.6	0.1319
3009	15184	197788	0.4	0
3010	12158	197981	0.0	0
3011	24449	200267	4.7	0.1911
3012	21428	200460	0.2	0
3013	18401	200652	0.0	0
3014	15377	200844	0.0	0
3015	12350	201034	0.0	0
3016	23290	181947	14.5	0.4205
3017	20270	182141	18.8	0.4317
3018	17241	182330	19.0	0.4202
3019	14215	182524	17.9	0.4424
3020	11189	182715	9.6	0.4289
3021	23484	185002	8.4	0.4343
3022	20460	185191	6.7	0.4187
3023	17431	185386	7.3	0.4304
3024	14407	185575	2.8	0.5391
3025	11386	185767	0.6	0.4579
3026	23673	188054	1.1	0.4365
3027	20645	188248	0.7	0.4122
3028	17620	188436	0.2	0.4293
3029	14601	188631	0.3	0.4244
3030	11579	188822	1.1	0.4298
3031	23865	191108	-0.5	0.4378
3032	20838	191298	-0.4	0.4218
3033	17814	191495	0.0	0.4395
3034	14793	191682	0.8	0.4883
3035	11770	191873	2.2	0.6375
3036	39178	193198	0.0	0.5204
3037	36154	193392	0.2	0.5041
3038	33132	193582	0.4	0.499
3039	30109	193777	0.4	0.474
3040	27082	193969	-0.2	0.4356
3041	39379	196252	0.1	0.4924
3042	36353	196442	0.4	0.4619
3043	33333	196638	0.7	0.5905
3044	30307	196829	1.4	0.6855
3045	27277	197022	0.6	0.484
3046	39571	199303	0.1	0.48
3047	36548	199499	0.1	0.4504
3048	33525	199689	0.3	0.4622
3049	30497	199883	1.6	0.5762
3050	27468	200076	6.1	0.4283
3051	38598	184037	0.7	0.5713
3052	35575	184232	1.1	0.5531
3053	32550	184424	4.9	0.4726
3054	29527	184616	9.9	0.4554
3055	26507	184809	12.5	0.4237
3056	38792	187091	0.0	0.5132
3057	35770	187284	1.5	0.5204
3058	32748	187475	8.1	0.4762
3059	29724	187671	8.5	0.4985
3060	26699	187861	5.4	0.443
3061	38982	190144	0.0	0.5278
3062	35961	190338	0.6	0.4964
3063	32941	190531	3.5	0.4907
3064	29915	190722	4.6	0.4823
3065	26890	190916	2.5	0.4849
3066	54301	192228	7.7	0.5152
3067	51278	192423	3.8	0.5252
3068	48254	192616	2.4	0.5625
3069	45227	192811	3.7	0.6376
3070	42202	193005	0.0	0.5529
3071	54503	195282	18.8	0.5236
3072	51476	195477	14.2	0.4749
3073	48450	195670	9.5	0.4758
3074	45430	195862	1.8	0.5371
3075	42408	196058	0.0	0.5019
3076	54697	198335	23.0	0.6209
3077	51667	198528	9.9	0.5513
3078	48642	198723	4.9	0.5354
3079	45624	198918	0.6	0.5534
3080	42601	199110	0.0	0.4888
3081	53716	183068	26.4	0.5007
3082	50694	183262	19.6	0.6011
3083	47671	183458	13.0	0.5296
3084	44644	183651	4.2	0.5516
3085	41622	183845	1.5	0.556
3086	53910	186122	22.4	0.5433
3087	50889	186318	20.3	0.5522
3088	47867	186509	12.5	0.5269
3089	44842	186704	3.6	0.5022
