ID	LAMBX	LAMBY	ALT	BETA
359	230529	17986	251.5	0.318748
360	227520	18195	275.6	0.329312
361	239772	20416	357.2	0.314746
362	236762	20623	329.9	0.16621
363	233750	20833	279.7	0.234724
364	230741	21041	248.4	0.26873
365	227732	21248	248.4	0.225603
366	239985	23469	352.6	0.235897
367	236975	23678	362.7	0.29333
368	233964	23886	346.8	0.0837105
369	230952	24095	257.0	0.264058
370	227941	24302	239.2	0.303647
371	258461	71247	465.3	0.130364
372	255446	71458	434.7	0.0882726
373	252433	71667	475.3	0.281804
374	249420	71876	491.9	0.143838
375	246404	72086	497.7	0.195911
376	257389	55981	415.7	0.218134
377	254376	56190	456.5	0.178915
378	251362	56400	448.2	0.180314
379	248350	56609	466.8	0.0991557
380	245339	56818	483.1	0
381	257605	59034	477.6	0.210774
382	254591	59244	484.2	0.106812
383	251578	59453	477.8	0.247058
384	248564	59664	418.4	0.219113
385	245552	59872	423.9	0.128679
386	257821	62088	473.4	0.205946
387	254805	62297	421.6	0.182691
388	251793	62507	420.5	0.189174
389	248780	62716	427.7	0.108954
390	245768	62926	441.5	0.147677
391	258034	65141	423.9	0.11507
392	255017	65352	413.0	0.189955
393	252003	65561	414.3	0.214295
394	248992	65771	436.0	0.0976307
395	245979	65979	449.1	0.199913
396	258247	68195	386.2	0.13754
397	255230	68404	402.9	0.0760898
398	252216	68615	446.6	0.195445
399	249203	68824	443.7	0.170974
400	246188	69033	473.7	0.18674
401	256319	40733	360.8	0.387316
402	253309	40943	399.5	0.423585
403	250298	41152	384.5	0.158598
404	247285	41360	370.3	0.163429
405	244271	41570	350.2	0.344936
406	256535	43782	366.4	0.28406
407	253523	43991	386.0	0.46551
408	250510	44201	386.2	0.390486
409	247498	44411	364.1	0.379772
410	244485	44619	373.4	0.306753
411	256749	46830	337.3	0.245091
412	253738	47041	349.2	0.263357
413	250726	47250	345.6	0.251422
414	247712	47459	351.0	0.247159
415	244699	47668	414.1	0.0403968
416	256961	49880	296.6	0.224598
417	253950	50090	311.5	0.282206
418	250936	50299	337.4	0.350977
419	247922	50509	408.6	0.192454
420	244909	50718	452.9	1.15102e-06
421	257173	52929	323.4	0.331253
422	254162	53139	368.9	0.225606
423	251148	53348	415.3	0.132475
424	248135	53558	460.0	0.0342618
425	245123	53767	462.5	0
426	255248	25477	329.2	0.481966
427	252236	25687	314.0	0.54259
428	249227	25895	378.2	0.209118
429	246216	26105	320.1	0.289357
430	243205	26314	284.2	0.286269
431	255467	28527	279.4	0.673201
432	252452	28738	291.3	0.424236
433	249440	28947	283.8	0.379154
434	246432	29155	265.3	0.387134
435	243421	29365	264.3	0.33463
436	255685	31579	307.7	0.400796
437	252670	31788	334.6	0.300887
438	249657	31998	322.8	0.240189
439	246648	32208	308.8	0.169414
440	243638	32416	280.5	0.20248
441	255895	34630	333.9	0.312286
442	252883	34840	309.1	0.351467
443	249870	35051	354.0	0.231282
444	246859	35259	361.5	0.235551
445	243849	35469	315.3	0.116093
446	256105	37682	339.4	0.397317
447	253096	37891	340.0	0.30759
448	250085	38101	361.5	0.190248
449	247072	38311	362.4	0
450	244059	38519	351.4	0.112233
451	271380	39680	334.4	0.198646
452	268369	39891	314.5	0.302353
453	265356	40102	323.6	0.352804
454	262345	40312	320.4	0.351298
455	259333	40522	331.8	0.197447
456	271595	42730	353.4	0.243648
457	268584	42940	321.0	0.244884
458	265573	43150	329.8	0.107752
459	262560	43361	331.0	0.144703
460	259548	43572	339.6	0.148252
461	271814	45778	317.8	0.112501
462	268801	45989	338.6	0.239547
463	265788	46200	338.1	0.224254
464	262774	46410	309.9	0.223075
465	259761	46620	344.6	0.21636
466	272025	48827	314.6	0.126827
467	269013	49038	311.7	0.294788
468	266000	49248	287.4	0.285495
469	262987	49460	284.0	0.261757
470	259972	49670	284.4	0.277776
471	272238	51877	271.6	0.245785
472	269227	52087	283.9	0.235942
473	266217	52299	276.3	0.317287
474	263204	52508	281.9	0.282344
475	260188	52720	304.9	0.365097
476	270302	24425	286.8	0.507169
477	267291	24635	291.5	0.57557
478	264281	24847	325.1	0.579457
479	261270	25056	315.3	0.774367
480	258259	25266	387.0	0.254527
481	270518	27476	317.9	0.320337
482	267507	27687	308.9	0.338949
483	264495	27897	318.9	0.369562
484	261484	28107	291.4	0.433562
485	258476	28318	302.1	0.558752
486	270737	30527	323.4	0.223034
487	267724	30738	330.0	0.340897
488	264713	30949	342.9	0.327523
489	261703	31159	326.8	0.346999
490	258694	31369	342.3	0.240545
491	270950	33579	296.0	0.342453
492	267939	33789	326.6	0.226088
493	264929	34000	339.1	0.359961
494	261917	34211	364.1	0.282652
495	258905	34421	343.0	0.259377
496	271165	36630	317.8	0.391065
497	268153	36842	309.3	0.376306
498	265142	37052	322.1	0.308745
499	262130	37261	321.2	0.33345
500	259117	37473	327.7	0.353373
501	108729	96722	146.7	0.237582
502	105715	96920	168.5	0.00432669
503	102697	97117	167.6	0.0259497
504	99678	97317	155.1	0.175981
505	96663	97514	135.1	0.408974
506	108931	99773	144.5	0.379547
507	105913	99972	168.0	0.0397741
508	102898	100170	165.7	0.0671044
509	99880	100368	144.9	0.2079
510	96862	100567	126.3	0.423027
511	138889	94725	249.6	0.207103
512	135875	94925	228.9	0.320703
513	132861	95125	223.7	0.319578
514	129847	95325	206.0	0.317002
515	126831	95526	196.7	0.361581
516	139094	97777	235.8	0.25891
517	136079	97977	214.3	0.293166
518	133066	98177	215.8	0.173606
519	130051	98378	203.0	0.21865
520	127033	98578	180.9	0.289398
521	139299	100827	199.6	0.336119
522	136283	101031	210.5	0.251215
523	133268	101228	211.3	0.126517
524	137872	79464	269.1	0.122687
525	134858	79664	247.6	0.375099
526	131842	79866	247.2	0.208542
527	128827	80065	227.0	0.238738
528	125812	80265	199.6	0.328404
529	138076	82516	222.5	0.391612
530	135061	82717	214.5	0.428366
531	132045	82916	221.8	0.310314
532	129031	83117	197.1	0.343086
533	126017	83317	193.0	0.0590323
534	138281	85568	199.2	0.152978
535	135264	85768	203.5	0.00577414
536	132248	85970	207.6	0
537	129232	86170	204.9	0.00362756
538	126218	86369	213.3	0.237709
539	138484	88619	213.5	0.186102
540	135468	88822	202.2	0.133371
541	132452	89021	202.6	0.115244
542	129436	89221	191.3	0.24616
543	126421	89422	183.2	0.289529
544	138685	91673	233.3	0.172745
545	135671	91872	231.8	0.0704849
546	132655	92074	224.3	0.151636
547	129640	92274	222.0	0.213504
548	126625	92474	205.1	0.242674
549	137462	73356	269.4	0.202909
550	134447	73557	255.8	0.063035
551	131433	73758	236.6	0.172056
552	128417	73959	225.9	0.115643
553	125402	74157	226.0	0.211802
554	137665	76411	281.7	0.140312
555	134650	76612	259.9	0.233174
556	131634	76812	243.3	0.221378
557	128617	77012	227.4	0.285951
558	125602	77213	202.9	0.333476
559	153973	93717	262.7	0.16163
560	150958	93919	266.7	0.202326
561	147944	94120	250.4	0.339584
562	144924	94322	240.6	0.209254
563	141905	94524	251.7	0.0774258
564	154180	96769	240.1	0.323748
565	151164	96971	244.8	0.159802
566	148148	97173	257.9	0.211354
567	145131	97373	235.5	0.216915
568	142113	97575	216.8	0.283813
569	154383	99821	250.2	0.198766
570	151365	100023	228.6	0.13549
571	148349	100224	242.1	0.361558
572	145334	100427	232.5	0.384565
573	142316	100628	202.2	0.350346
574	152946	78458	306.2	0.148534
575	149932	78659	294.7	0.216458
576	146917	78860	279.5	0.298656
577	143900	79062	283.7	0.137783
578	140885	79263	276.0	0.22775
579	153152	81509	240.6	0.312495
580	150136	81711	242.5	0.335916
581	147120	81913	245.9	0.363566
582	144106	82113	245.2	0.367183
583	141092	82315	247.0	0.33212
584	153358	84561	189.5	0.249251
585	150342	84762	222.1	0.150582
586	147327	84964	218.3	0.154969
587	144312	85166	245.0	0.191575
588	141298	85366	221.9	0.151811
589	153565	87612	232.0	0.0387274
590	150548	87815	252.6	0.0821266
591	147532	88016	245.0	0.129805
592	144517	88217	251.8	0.011165
593	141501	88420	245.2	0.0771618
594	153767	90666	239.0	0.0671905
595	150751	90866	256.7	0.0615297
596	147734	91069	260.0	0.233426
597	144718	91271	245.2	0.206261
598	141700	91470	234.0	0.165376
599	152535	72350	339.7	0.0625071
600	149518	72552	325.4	0.216826
601	146506	72753	316.2	0.150731
602	143494	72955	304.8	0.194887
603	140479	73156	287.3	0.311835
604	152738	75403	315.0	0.0420223
605	149724	75606	316.8	0.0773981
606	146711	75808	309.3	0.227707
607	143695	76009	299.9	0.147285
608	140678	76210	285.7	0.223156
609	169056	92703	184.7	0.0683348
610	166042	92907	200.1	0.18258
611	163022	93110	232.9	0.118401
612	160006	93312	213.1	0.197674
613	156991	93515	255.9	0.0396115
614	169261	95756	217.9	0.390199
615	166246	95958	237.0	0.240805
616	163228	96161	236.8	0.299373
617	160212	96366	255.9	0.338534
618	157197	96565	248.1	0.30663
619	169465	98808	264.5	0.212651
620	166450	99010	282.7	0.306968
621	163434	99214	274.9	0.326531
622	160416	99416	261.2	0.323325
623	157399	99619	265.8	0.281219
624	168023	77444	355.4	0.0318804
625	165005	77648	354.2	0.0103678
626	161991	77851	325.1	0
627	158979	78052	309.1	0.00564715
628	155962	78255	291.7	0.0399328
629	168231	80496	322.4	0.0990271
630	165214	80699	305.4	0
631	162198	80902	296.6	0.0464082
632	159185	81105	239.6	0.309859
633	156169	81306	248.8	0.34458
634	168438	83548	241.4	0.109347
635	165422	83751	226.7	0.12225
636	162406	83954	199.3	0.342254
637	159391	84156	201.4	0.469862
638	156374	84358	193.1	0.257076
639	168647	86600	218.3	0.293122
640	165631	86802	207.3	0.250505
641	162613	87007	179.0	0.284017
642	159596	87207	168.3	0.35839
643	156581	87411	191.5	0.217285
644	168852	89651	205.8	0.287923
645	165836	89854	203.5	0.0976165
646	162817	90058	186.9	0.162335
647	159799	90261	193.9	0.206225
648	156783	90463	220.3	0.0247999
649	167810	74392	321.1	0
650	164794	74595	350.1	0.0135787
651	161781	74797	328.0	0.160177
652	158767	75000	358.3	0.0431753
653	155751	75203	339.9	0.11363
654	184134	91685	138.6	0.417949
655	181119	91889	139.2	0.497198
656	178105	92094	184.9	0.229916
657	175088	92297	179.4	0.209434
658	172069	92501	175.4	0.180495
659	184341	94738	185.7	0.251576
660	181325	94941	148.6	0.262194
661	178312	95144	210.3	0.174714
662	175294	95349	188.4	0.168207
663	172275	95552	194.9	0.261456
