ID	X	Y	ALT	BETA
13231	162500.000000	125500.000000	176.1	0.471346
13232	162500.000000	124500.000000	158.8	0.564687
13233	162500.000000	123500.000000	170.3	0.625251
13234	162500.000000	122500.000000	148.3	0.617020
13235	162500.000000	121500.000000	113.5	0.581961
13236	162500.000000	120500.000000	98.8	0.439200
13237	162500.000000	119500.000000	108.5	0.324251
13238	162500.000000	118500.000000	139.4	0.268344
13239	162500.000000	117500.000000	147.9	0.242806
13240	162500.000000	116500.000000	162.5	0.214864
13241	162500.000000	115500.000000	194.8	0.238109
13242	162500.000000	114500.000000	185.0	0.226647
13243	162500.000000	113500.000000	191.4	0.184498
13244	162500.000000	112500.000000	192.8	0.195934
13245	162500.000000	111500.000000	198.2	0.176988
13246	162500.000000	110500.000000	213.3	0.172809
13247	162500.000000	109500.000000	229.4	0.161818
13248	162500.000000	108500.000000	220.6	0.155141
13249	162500.000000	107500.000000	214.1	0.149463
13250	162500.000000	106500.000000	254.3	0.131553
13251	162500.000000	105500.000000	262.3	0.133401
13252	162500.000000	104500.000000	259.5	0.101588
13253	162500.000000	103500.000000	260.5	0.119923
13254	162500.000000	102500.000000	266.4	0.122537
13255	162500.000000	101500.000000	232.4	0.115036
13256	162500.000000	100500.000000	231.4	0.133126
13257	162500.000000	99500.000000	238.7	0.163250
13258	162500.000000	98500.000000	256.0	0.165993
13259	162500.000000	97500.000000	258.3	0.194970
13260	162500.000000	96500.000000	275.2	0.173416
13261	162500.000000	95500.000000	260.8	0.095733
13262	162500.000000	94500.000000	236.7	0.074668
13263	162500.000000	93500.000000	231.7	0.029911
13264	162500.000000	92500.000000	214.7	0.018962
13265	162500.000000	91500.000000	223.0	0.022619
13266	162500.000000	90500.000000	222.2	0.028654
13267	162500.000000	89500.000000	183.6	0.053792
13268	162500.000000	88500.000000	196.5	0.104002
13269	162500.000000	87500.000000	209.2	0.131879
13270	162500.000000	86500.000000	179.8	0.170904
13271	162500.000000	85500.000000	156.9	0.193124
13272	162500.000000	84500.000000	160.2	0.206692
13273	162500.000000	83500.000000	176.9	0.184699
13274	162500.000000	82500.000000	214.9	0.146391
13275	162500.000000	81500.000000	183.2	0.093822
13276	162500.000000	80500.000000	245.3	0.018441
13277	162500.000000	79500.000000	278.3	0.007925
13278	162500.000000	78500.000000	318.1	0.001563
13279	162500.000000	77500.000000	322.2	0.000642
13280	162500.000000	76500.000000	288.5	0.011914
13281	162500.000000	75500.000000	320.2	0.021964
13282	162500.000000	74500.000000	316.7	0.039373
13283	162500.000000	73500.000000	311.0	0.050306
13284	162500.000000	72500.000000	336.8	0.040813
13285	163500.000000	235500.000000	11.9	0.061370
13286	163500.000000	234500.000000	12.2	0.094702
13287	163500.000000	233500.000000	12.0	0.125848
13288	163500.000000	232500.000000	12.6	0.187852
13289	163500.000000	231500.000000	14.5	0.208948
13290	163500.000000	230500.000000	15.9	0.189325
13291	163500.000000	229500.000000	22.6	0.191069
13292	163500.000000	228500.000000	24.6	0.173477
13293	163500.000000	227500.000000	21.4	0.175962
13294	163500.000000	226500.000000	21.0	0.185899
13295	163500.000000	225500.000000	23.9	0.242998
13296	163500.000000	224500.000000	26.4	0.310786
13297	163500.000000	223500.000000	28.2	0.374132
13298	163500.000000	222500.000000	23.8	0.486129
13299	163500.000000	221500.000000	26.3	0.499179
13300	163500.000000	220500.000000	21.7	0.431911
13301	163500.000000	219500.000000	14.7	0.386066
13302	163500.000000	218500.000000	15.4	0.362884
13303	163500.000000	217500.000000	14.1	0.374507
13304	163500.000000	216500.000000	14.1	0.461035
13305	163500.000000	215500.000000	12.5	0.541853
13306	163500.000000	214500.000000	10.0	0.560926
13307	163500.000000	213500.000000	11.4	0.492560
13308	163500.000000	212500.000000	13.8	0.486929
13309	163500.000000	211500.000000	8.3	0.452086
13310	163500.000000	210500.000000	5.1	0.411650
13311	163500.000000	209500.000000	6.3	0.422074
13312	163500.000000	208500.000000	8.2	0.334740
13313	163500.000000	207500.000000	9.4	0.228125
13314	163500.000000	206500.000000	9.9	0.181811
13315	163500.000000	205500.000000	10.3	0.256664
13316	163500.000000	204500.000000	9.3	0.339138
13317	163500.000000	203500.000000	9.3	0.461470
13318	163500.000000	202500.000000	8.8	0.458026
13319	163500.000000	201500.000000	7.0	0.373375
13320	163500.000000	200500.000000	4.8	0.278951
13321	163500.000000	199500.000000	3.8	0.164695
13322	163500.000000	198500.000000	3.1	0.126555
13323	163500.000000	197500.000000	3.9	0.133005
13324	163500.000000	196500.000000	6.7	0.204420
13325	163500.000000	195500.000000	8.0	0.222372
13326	163500.000000	194500.000000	7.9	0.251859
13327	163500.000000	193500.000000	7.2	0.269792
13328	163500.000000	192500.000000	6.1	0.207976
13329	163500.000000	191500.000000	5.8	0.295780
13330	163500.000000	190500.000000	7.4	0.272161
13331	163500.000000	189500.000000	8.2	0.257950
13332	163500.000000	188500.000000	5.3	0.299477
13333	163500.000000	187500.000000	4.1	0.259889
13334	163500.000000	186500.000000	4.9	0.342731
13335	163500.000000	185500.000000	8.0	0.360059
13336	163500.000000	184500.000000	8.4	0.354949
13337	163500.000000	183500.000000	9.1	0.337917
13338	163500.000000	182500.000000	14.4	0.328356
13339	163500.000000	181500.000000	9.4	0.369396
13340	163500.000000	180500.000000	12.2	0.371937
13341	163500.000000	179500.000000	12.5	0.344789
13342	163500.000000	178500.000000	16.6	0.338721
13343	163500.000000	177500.000000	22.3	0.367602
13344	163500.000000	176500.000000	30.2	0.405201
13345	163500.000000	175500.000000	40.6	0.456532
13346	163500.000000	174500.000000	45.8	0.415431
13347	163500.000000	173500.000000	46.4	0.378615
13348	163500.000000	172500.000000	64.4	0.370631
13349	163500.000000	171500.000000	82.2	0.365750
13350	163500.000000	170500.000000	81.3	0.391197
13351	163500.000000	169500.000000	89.7	0.363645
13352	163500.000000	168500.000000	80.5	0.348963
13353	163500.000000	167500.000000	74.5	0.328611
13354	163500.000000	166500.000000	77.2	0.329505
13355	163500.000000	165500.000000	90.2	0.329758
13356	163500.000000	164500.000000	96.3	0.326856
13357	163500.000000	163500.000000	85.9	0.336580
13358	163500.000000	162500.000000	99.3	0.345569
13359	163500.000000	161500.000000	84.0	0.350699
13360	163500.000000	160500.000000	74.9	0.320052
13361	163500.000000	159500.000000	87.6	0.342306
13362	163500.000000	158500.000000	90.4	0.347416
13363	163500.000000	157500.000000	90.0	0.376056
13364	163500.000000	156500.000000	89.0	0.446577
13365	163500.000000	155500.000000	66.0	0.464422
13366	163500.000000	154500.000000	89.8	0.465816
13367	163500.000000	153500.000000	98.7	0.462699
13368	163500.000000	152500.000000	98.5	0.463946
13369	163500.000000	151500.000000	101.6	0.454630
13370	163500.000000	150500.000000	90.4	0.472115
13371	163500.000000	149500.000000	114.8	0.484883
13372	163500.000000	148500.000000	124.1	0.431096
13373	163500.000000	147500.000000	122.1	0.370302
13374	163500.000000	146500.000000	112.6	0.335609
13375	163500.000000	145500.000000	90.0	0.274678
13376	163500.000000	144500.000000	118.1	0.230800
13377	163500.000000	143500.000000	105.1	0.212313
13378	163500.000000	142500.000000	101.8	0.251314
13379	163500.000000	141500.000000	119.7	0.271699
13380	163500.000000	140500.000000	139.7	0.314118
13381	163500.000000	139500.000000	124.2	0.335215
13382	163500.000000	138500.000000	142.0	0.293410
13383	163500.000000	137500.000000	147.8	0.266476
13384	163500.000000	136500.000000	145.7	0.261777
13385	163500.000000	135500.000000	145.9	0.298356
13386	163500.000000	134500.000000	148.9	0.306657
13387	163500.000000	133500.000000	150.0	0.323815
13388	163500.000000	132500.000000	141.5	0.330005
13389	163500.000000	131500.000000	143.2	0.334687
13390	163500.000000	130500.000000	141.8	0.340473
13391	163500.000000	129500.000000	145.6	0.396423
13392	163500.000000	128500.000000	155.5	0.458219
13393	163500.000000	127500.000000	166.3	0.436907
13394	163500.000000	126500.000000	173.2	0.438616
13395	163500.000000	125500.000000	180.1	0.457476
13396	163500.000000	124500.000000	173.9	0.518403
13397	163500.000000	123500.000000	139.2	0.537635
13398	163500.000000	122500.000000	121.3	0.517427
13399	163500.000000	121500.000000	98.2	0.473572
13400	163500.000000	120500.000000	110.9	0.359287
13401	163500.000000	119500.000000	125.2	0.271370
13402	163500.000000	118500.000000	152.5	0.251197
13403	163500.000000	117500.000000	164.8	0.236789
13404	163500.000000	116500.000000	186.6	0.193904
13405	163500.000000	115500.000000	195.3	0.223888
13406	163500.000000	114500.000000	178.1	0.218334
13407	163500.000000	113500.000000	188.8	0.162612
13408	163500.000000	112500.000000	194.9	0.163918
