ID	X	Y	ALT	BETA
176	29500.000000	177500.000000	6.3	0.270901
177	29500.000000	176500.000000	9.5	0.264456
178	29500.000000	175500.000000	12.7	0.266803
179	29500.000000	174500.000000	15.9	0.234964
180	29500.000000	173500.000000	16.7	0.220897
181	29500.000000	172500.000000	17.1	0.207138
182	29500.000000	171500.000000	15.6	0.179887
183	29500.000000	170500.000000	17.5	0.186957
184	29500.000000	169500.000000	20.2	0.174633
185	29500.000000	168500.000000	38.2	0.167933
186	30500.000000	203500.000000	0.0	0.295897
187	30500.000000	202500.000000	0.0	0.381781
188	30500.000000	201500.000000	4.3	0.443485
189	30500.000000	200500.000000	8.4	0.463846
190	30500.000000	199500.000000	8.0	0.444370
191	30500.000000	198500.000000	3.7	0.459701
192	30500.000000	197500.000000	1.1	0.435926
193	30500.000000	196500.000000	0.8	0.384722
194	30500.000000	195500.000000	0.3	0.332639
195	30500.000000	194500.000000	0.5	0.272187
196	30500.000000	193500.000000	0.3	0.244329
197	30500.000000	192500.000000	0.4	0.242379
198	30500.000000	191500.000000	0.2	0.239368
199	30500.000000	190500.000000	0.8	0.257043
200	30500.000000	189500.000000	5.0	0.259245
201	30500.000000	188500.000000	8.1	0.254565
202	30500.000000	187500.000000	7.7	0.268282
203	30500.000000	186500.000000	8.7	0.242486
204	30500.000000	185500.000000	8.5	0.218641
205	30500.000000	184500.000000	11.8	0.242173
206	30500.000000	183500.000000	12.6	0.240067
207	30500.000000	182500.000000	10.0	0.240658
208	30500.000000	181500.000000	7.8	0.250095
209	30500.000000	180500.000000	2.2	0.248425
210	30500.000000	179500.000000	2.3	0.243972
211	30500.000000	178500.000000	4.8	0.282463
212	30500.000000	177500.000000	7.0	0.294535
213	30500.000000	176500.000000	10.5	0.280299
214	30500.000000	175500.000000	13.9	0.272514
215	30500.000000	174500.000000	18.2	0.236487
216	30500.000000	173500.000000	24.1	0.222677
217	30500.000000	172500.000000	23.0	0.207637
218	30500.000000	171500.000000	26.1	0.192694
219	30500.000000	170500.000000	26.4	0.201308
220	30500.000000	169500.000000	28.8	0.184330
221	30500.000000	168500.000000	38.9	0.179136
222	31500.000000	204500.000000	0.0	0.183698
223	31500.000000	203500.000000	0.0	0.289302
224	31500.000000	202500.000000	0.4	0.355459
225	31500.000000	201500.000000	6.6	0.406019
226	31500.000000	200500.000000	7.4	0.392001
227	31500.000000	199500.000000	5.0	0.386037
228	31500.000000	198500.000000	1.1	0.415170
229	31500.000000	197500.000000	0.9	0.409740
230	31500.000000	196500.000000	1.4	0.400925
231	31500.000000	195500.000000	2.0	0.350271
232	31500.000000	194500.000000	0.2	0.295206
233	31500.000000	193500.000000	0.4	0.250760
234	31500.000000	192500.000000	0.4	0.229069
235	31500.000000	191500.000000	0.7	0.246959
236	31500.000000	190500.000000	1.1	0.253008
237	31500.000000	189500.000000	4.7	0.264697
238	31500.000000	188500.000000	7.5	0.262910
239	31500.000000	187500.000000	7.9	0.260616
240	31500.000000	186500.000000	9.4	0.234297
241	31500.000000	185500.000000	10.1	0.213091
242	31500.000000	184500.000000	11.0	0.230045
243	31500.000000	183500.000000	10.1	0.220554
244	31500.000000	182500.000000	7.5	0.233538
245	31500.000000	181500.000000	4.4	0.237460
246	31500.000000	180500.000000	1.3	0.239830
247	31500.000000	179500.000000	2.5	0.244698
248	31500.000000	178500.000000	5.1	0.255845
249	31500.000000	177500.000000	7.3	0.270337
250	31500.000000	176500.000000	11.1	0.262212
251	31500.000000	175500.000000	12.9	0.259110
252	31500.000000	174500.000000	17.1	0.252042
253	31500.000000	173500.000000	26.3	0.238019
254	31500.000000	172500.000000	28.9	0.219875
255	31500.000000	171500.000000	32.9	0.207469
256	31500.000000	170500.000000	35.7	0.212069
257	31500.000000	169500.000000	50.5	0.194708
258	31500.000000	168500.000000	40.8	0.189330
259	32500.000000	204500.000000	0.0	0.256564
260	32500.000000	203500.000000	0.0	0.354263
261	32500.000000	202500.000000	4.5	0.366807
262	32500.000000	201500.000000	7.3	0.365029
263	32500.000000	200500.000000	4.9	0.303969
264	32500.000000	199500.000000	1.2	0.276277
265	32500.000000	198500.000000	0.8	0.314767
266	32500.000000	197500.000000	0.7	0.328909
267	32500.000000	196500.000000	1.5	0.350690
268	32500.000000	195500.000000	3.3	0.316651
269	32500.000000	194500.000000	1.5	0.286170
270	32500.000000	193500.000000	0.3	0.250139
271	32500.000000	192500.000000	0.3	0.231566
272	32500.000000	191500.000000	0.5	0.262044
273	32500.000000	190500.000000	2.0	0.252427
274	32500.000000	189500.000000	4.0	0.249289
275	32500.000000	188500.000000	4.9	0.247174
276	32500.000000	187500.000000	5.3	0.236571
277	32500.000000	186500.000000	6.3	0.227205
278	32500.000000	185500.000000	7.9	0.225471
279	32500.000000	184500.000000	9.4	0.248487
280	32500.000000	183500.000000	8.5	0.250675
281	32500.000000	182500.000000	6.8	0.285357
282	32500.000000	181500.000000	1.3	0.288218
283	32500.000000	180500.000000	1.9	0.276574
284	32500.000000	179500.000000	2.7	0.275321
285	32500.000000	178500.000000	4.3	0.247639
286	32500.000000	177500.000000	9.9	0.254388
287	32500.000000	176500.000000	15.4	0.254113
288	32500.000000	175500.000000	16.5	0.260902
289	32500.000000	174500.000000	21.7	0.296880
290	32500.000000	173500.000000	29.0	0.313583
291	32500.000000	172500.000000	35.0	0.296307
292	32500.000000	171500.000000	38.6	0.266269
293	32500.000000	170500.000000	42.6	0.232478
294	32500.000000	169500.000000	39.2	0.186860
295	32500.000000	168500.000000	41.4	0.186822
296	33500.000000	205500.000000	0.0	0.204380
297	33500.000000	204500.000000	0.0	0.310199
298	33500.000000	203500.000000	0.3	0.383146
299	33500.000000	202500.000000	8.6	0.341853
300	33500.000000	201500.000000	7.2	0.317201
301	33500.000000	200500.000000	2.9	0.255014
302	33500.000000	199500.000000	0.5	0.220062
303	33500.000000	198500.000000	0.6	0.253347
304	33500.000000	197500.000000	0.8	0.269959
305	33500.000000	196500.000000	1.0	0.306466
306	33500.000000	195500.000000	1.8	0.292018
307	33500.000000	194500.000000	1.3	0.278429
308	33500.000000	193500.000000	0.4	0.256603
309	33500.000000	192500.000000	0.5	0.245627
310	33500.000000	191500.000000	0.2	0.272465
311	33500.000000	190500.000000	0.7	0.267571
312	33500.000000	189500.000000	1.5	0.261244
313	33500.000000	188500.000000	3.9	0.254982
314	33500.000000	187500.000000	7.7	0.249627
315	33500.000000	186500.000000	9.7	0.250825
316	33500.000000	185500.000000	9.2	0.264659
317	33500.000000	184500.000000	6.1	0.273856
318	33500.000000	183500.000000	6.6	0.277025
319	33500.000000	182500.000000	7.2	0.314899
320	33500.000000	181500.000000	0.9	0.312481
321	33500.000000	180500.000000	1.3	0.301517
322	33500.000000	179500.000000	2.1	0.297090
323	33500.000000	178500.000000	4.5	0.239166
324	33500.000000	177500.000000	8.7	0.232441
325	33500.000000	176500.000000	16.9	0.225335
326	33500.000000	175500.000000	22.4	0.237534
327	33500.000000	174500.000000	28.1	0.325523
328	33500.000000	173500.000000	30.0	0.364255
329	33500.000000	172500.000000	28.6	0.359846
330	33500.000000	171500.000000	29.5	0.327124
331	33500.000000	170500.000000	28.6	0.256633
332	33500.000000	169500.000000	24.4	0.193186
333	33500.000000	168500.000000	24.3	0.192361
334	33500.000000	167500.000000	31.1	0.198657
335	33500.000000	166500.000000	62.7	0.190706
336	34500.000000	206500.000000	0.0	0.152323
337	34500.000000	205500.000000	0.0	0.249080
338	34500.000000	204500.000000	0.0	0.337867
339	34500.000000	203500.000000	3.7	0.373296
340	34500.000000	202500.000000	9.1	0.315193
341	34500.000000	201500.000000	5.2	0.273599
342	34500.000000	200500.000000	1.5	0.221747
343	34500.000000	199500.000000	0.7	0.209377
344	34500.000000	198500.000000	0.5	0.220687
345	34500.000000	197500.000000	0.3	0.234004
346	34500.000000	196500.000000	0.3	0.266208
347	34500.000000	195500.000000	0.8	0.269578
348	34500.000000	194500.000000	0.5	0.272095
349	34500.000000	193500.000000	0.5	0.261156
350	34500.000000	192500.000000	0.6	0.256957
351	34500.000000	191500.000000	0.3	0.272850
352	34500.000000	190500.000000	1.0	0.273316
353	34500.000000	189500.000000	2.4	0.279516
354	34500.000000	188500.000000	4.7	0.283557
355	34500.000000	187500.000000	8.0	0.271681
356	34500.000000	186500.000000	9.7	0.271226
357	34500.000000	185500.000000	8.3	0.293145
358	34500.000000	184500.000000	5.7	0.299575
359	34500.000000	183500.000000	4.9	0.317777
360	34500.000000	182500.000000	6.0	0.361789
361	34500.000000	181500.000000	1.5	0.344365
362	34500.000000	180500.000000	1.3	0.318764
363	34500.000000	179500.000000	1.7	0.305731
364	34500.000000	178500.000000	5.0	0.234260
365	34500.000000	177500.000000	10.2	0.216243
366	34500.000000	176500.000000	19.3	0.214475
367	34500.000000	175500.000000	26.0	0.229012
368	34500.000000	174500.000000	23.0	0.335735
369	34500.000000	173500.000000	28.2	0.382055
370	34500.000000	172500.000000	23.2	0.379644
371	34500.000000	171500.000000	22.9	0.353388
372	34500.000000	170500.000000	21.6	0.268786
373	34500.000000	169500.000000	20.9	0.206078
374	34500.000000	168500.000000	25.0	0.216027
375	34500.000000	167500.000000	28.3	0.222503
376	34500.000000	166500.000000	35.0	0.222879
377	34500.000000	165500.000000	56.2	0.229656
378	34500.000000	164500.000000	57.9	0.204264
379	35500.000000	206500.000000	0.0	0.264060
380	35500.000000	205500.000000	0.0	0.378027
381	35500.000000	204500.000000	1.5	0.453988
382	35500.000000	203500.000000	10.4	0.461735
383	35500.000000	202500.000000	4.8	0.362076
384	35500.000000	201500.000000	3.9	0.281771
385	35500.000000	200500.000000	0.6	0.217032
386	35500.000000	199500.000000	0.1	0.197821
387	35500.000000	198500.000000	0.0	0.208938
388	35500.000000	197500.000000	0.0	0.217919
389	35500.000000	196500.000000	0.2	0.231848
390	35500.000000	195500.000000	0.8	0.253392
391	35500.000000	194500.000000	0.3	0.254016
392	35500.000000	193500.000000	0.2	0.260313
393	35500.000000	192500.000000	0.6	0.272273
394	35500.000000	191500.000000	0.3	0.266485
395	35500.000000	190500.000000	1.1	0.275467
396	35500.000000	189500.000000	3.2	0.280721
397	35500.000000	188500.000000	5.5	0.286453
398	35500.000000	187500.000000	7.1	0.286311
399	35500.000000	186500.000000	5.7	0.294051
400	35500.000000	185500.000000	7.3	0.327003
401	35500.000000	184500.000000	5.7	0.344375
402	35500.000000	183500.000000	3.5	0.361629
403	35500.000000	182500.000000	4.5	0.385183
