ID	LAMBX	LAMBY	ALT	BETA
538	126218	86369	213.3	0.363938
539	138484	88619	213.5	0.316656
540	135468	88822	202.2	0.222351
541	132452	89021	202.6	0.153491
542	129436	89221	191.3	0.339559
543	126421	89422	183.2	0.376611
544	138685	91673	233.3	0.252563
545	135671	91872	231.8	0.125656
546	132655	92074	224.3	0.173576
547	129640	92274	222.0	0.202917
548	126625	92474	205.1	0.345665
549	137462	73356	269.4	0.287753
550	134447	73557	255.8	0.116848
551	131433	73758	236.6	0.252948
552	128417	73959	225.9	0.195436
553	125402	74157	226.0	0.354967
554	137665	76411	281.7	0.248322
555	134650	76612	259.9	0.374296
556	131634	76812	243.3	0.343043
557	128617	77012	227.4	0.254762
558	125602	77213	202.9	0.451438
559	153973	93717	262.7	0.223491
560	150958	93919	266.7	0.292963
561	147944	94120	250.4	0.437607
562	144924	94322	240.6	0.356745
563	141905	94524	251.7	0.101496
564	154180	96769	240.1	0.390457
565	151164	96971	244.8	0.222947
566	148148	97173	257.9	0.218083
567	145131	97373	235.5	0.285198
568	142113	97575	216.8	0.394048
569	154383	99821	250.2	0.202932
570	151365	100023	228.6	0.189537
571	148349	100224	242.1	0.214068
572	145334	100427	232.5	0.340845
573	142316	100628	202.2	0.383082
574	152946	78458	306.2	0.204352
575	149932	78659	294.7	0.300373
576	146917	78860	279.5	0.376296
577	143900	79062	283.7	0.218904
578	140885	79263	276.0	0.315733
579	153152	81509	240.6	0.380305
580	150136	81711	242.5	0.345898
581	147120	81913	245.9	0.40806
582	144106	82113	245.2	0.377625
583	141092	82315	247.0	0.393493
584	153358	84561	189.5	0.412051
585	150342	84762	222.1	0.273218
586	147327	84964	218.3	0.217682
587	144312	85166	245.0	0.252284
588	141298	85366	221.9	0.248495
589	153565	87612	232.0	0.0688825
590	150548	87815	252.6	0.153133
591	147532	88016	245.0	0.173288
592	144517	88217	251.8	0.0214743
593	141501	88420	245.2	0.144175
594	153767	90666	239.0	0.101221
595	150751	90866	256.7	0.11573
596	147734	91069	260.0	0.369112
597	144718	91271	245.2	0.290278
598	141700	91470	234.0	0.237306
599	152535	72350	339.7	0.11752
600	149518	72552	325.4	0.287981
601	146506	72753	316.2	0.141268
602	143494	72955	304.8	0.283192
603	140479	73156	287.3	0.403308
604	152738	75403	315.0	0.0793424
605	149724	75606	316.8	0.072941
606	146711	75808	309.3	0.246321
607	143695	76009	299.9	0.246388
608	140678	76210	285.7	0.30839
609	169056	92703	184.7	0.0775642
610	166042	92907	200.1	0.278797
611	163022	93110	232.9	0.199414
612	160006	93312	213.1	0.274965
613	156991	93515	255.9	0.0559159
614	169261	95756	217.9	0.822923
615	166246	95958	237.0	0.385248
616	163228	96161	236.8	0.333044
617	160212	96366	255.9	0.389306
618	157197	96565	248.1	0.412902
619	169465	98808	264.5	0.232435
620	166450	99010	282.7	0.342419
621	163434	99214	274.9	0.414116
622	160416	99416	261.2	0.300965
623	157399	99619	265.8	0.256387
624	168023	77444	355.4	0.0499159
625	165005	77648	354.2	0.0199484
626	161991	77851	325.1	0
627	158979	78052	309.1	0.0108892
628	155962	78255	291.7	0.0693719
629	168231	80496	322.4	0.111068
630	165214	80699	305.4	0
631	162198	80902	296.6	0.0654979
632	159185	81105	239.6	0.379315
633	156169	81306	248.8	0.432359
634	168438	83548	241.4	0.14725
635	165422	83751	226.7	0.14128
636	162406	83954	199.3	0.367545
637	159391	84156	201.4	0.764744
638	156374	84358	193.1	0.368798
639	168647	86600	218.3	0.181104
640	165631	86802	207.3	0.280057
641	162613	87007	179.0	0.337106
642	159596	87207	168.3	0.494738
643	156581	87411	191.5	0.374691
644	168852	89651	205.8	0.334989
645	165836	89854	203.5	0.177573
646	162817	90058	186.9	0.235454
647	159799	90261	193.9	0.181294
648	156783	90463	220.3	0.0474044
649	167810	74392	321.1	0
650	164794	74595	350.1	0.0260879
651	161781	74797	328.0	0.216394
652	158767	75000	358.3	0.0738459
653	155751	75203	339.9	0.134381
654	184134	91685	138.6	0.485261
655	181119	91889	139.2	0.620272
656	178105	92094	184.9	0.246324
657	175088	92297	179.4	0.291067
658	172069	92501	175.4	0.216475
659	184341	94738	185.7	0.273265
660	181325	94941	148.6	0.294979
661	178312	95144	210.3	0.154349
662	175294	95349	188.4	0.218326
663	172275	95552	194.9	0.330223
664	184547	97788	225.2	0.29701
665	181531	97993	184.1	0.182298
666	178519	98197	196.0	0.137347
667	175501	98400	222.2	0.179945
668	172482	98605	251.9	0.313911
669	184755	100841	183.9	0.217249
670	181740	101045	193.3	0.380935
671	178726	101248	245.6	0.157346
672	183100	76426	344.6	0.130691
673	180084	76630	389.8	0.0171546
674	177069	76834	294.8	0.00621818
675	174049	77038	203.6	0.212584
676	171034	77242	320.8	0.0223595
677	183306	79478	320.6	0.0813911
678	180290	79682	321.7	0.118322
679	177277	79886	272.7	0.0225323
680	174260	80089	265.1	0.042686
681	171243	80293	330.8	0.124633
682	183513	82529	274.0	0.0270629
683	180496	82734	321.3	0
684	177482	82938	260.4	0.0163866
685	174466	83141	216.1	0.0834628
686	171450	83344	289.0	0.000261888
687	183723	85581	271.5	0.154161
688	180705	85785	221.8	0.101635
689	177691	85989	212.1	0.117939
690	174673	86194	158.9	0.330916
691	171657	86396	197.8	0.161241
692	183928	88633	204.9	0.173559
693	180911	88837	146.8	0.554321
694	177898	89041	165.4	0.27501
695	174881	89244	205.3	0.229322
696	171864	89449	222.8	0.239433
697	182887	73374	398.2	0.0283769
698	179874	73577	446.6	0
699	176858	73781	425.6	0
700	173841	73986	260.2	0.1262
701	170825	74187	261.7	0.001402
702	199217	90660	151.9	0.229982
703	196202	90866	151.6	0.316297
704	193182	91071	166.4	0.329021
705	190165	91276	193.7	0.230511
706	187150	91481	173.3	0.274621
707	199426	93712	150.5	0.410252
708	196411	93916	197.2	0.241497
709	193391	94122	205.3	0.228901
710	190374	94328	252.1	0.271233
711	187359	94532	247.4	0.267546
712	199631	96764	183.8	0.239548
713	196616	96970	162.5	0.299517
714	193600	97174	217.3	0.113589
715	190583	97380	246.8	0.177562
716	187566	97585	258.2	0.246828
717	199842	99816	254.3	0.196021
718	196825	100021	236.7	0.199025
719	193809	100227	203.0	0.228084
720	190791	100431	188.5	0.230047
721	187772	100636	184.3	0.270399
722	198171	75403	363.3	0.238768
723	195159	75607	400.6	0.105414
724	192143	75812	366.2	0.303837
725	189125	76016	358.3	0.338155
726	186112	76222	375.4	0.294353
727	198382	78453	417.7	0.169817
728	195366	78658	400.1	0.0367387
729	192351	78863	380.5	0.177699
730	189335	79069	334.3	0.0930632
731	186320	79273	336.7	0.179242
732	198588	81505	367.8	0.0161342
733	195572	81710	349.1	0.073327
734	192560	81915	347.6	0.195895
735	189544	82120	344.1	0.0864132
736	186529	82325	326.4	0.0471876
737	198797	84556	287.2	0.378189
738	195783	84763	276.9	0.315364
739	192768	84967	288.4	0.311854
740	189754	85171	316.5	0.0878243
741	186740	85377	314.7	0.0934282
742	199007	87609	212.1	0.315892
743	195992	87813	245.9	0.370734
744	192974	88020	245.5	0.399707
745	189959	88224	243.4	0.286254
746	186945	88429	245.6	0.295066
747	194944	72553	397.2	0.141656
748	191929	72760	364.3	0.370989
749	188914	72965	360.3	0.228577
750	185900	73167	406.6	0.0541237
751	214296	89630	269.8	0.367038
752	211281	89836	242.2	0.224954
753	208263	90043	189.0	0.327534
