ID	X	Y	ALT	BETA
23232	220500.000000	169500.000000	51.3	0.511712
23233	220500.000000	168500.000000	51.6	0.530383
23234	220500.000000	167500.000000	58.2	0.561748
23235	220500.000000	166500.000000	68.6	0.536221
23236	220500.000000	165500.000000	85.2	0.478994
23237	220500.000000	164500.000000	101.9	0.413939
23238	220500.000000	163500.000000	102.1	0.362916
23239	220500.000000	162500.000000	80.3	0.330057
23240	220500.000000	161500.000000	72.9	0.306983
23241	220500.000000	160500.000000	78.2	0.289957
23242	220500.000000	159500.000000	89.3	0.308765
23243	220500.000000	158500.000000	104.3	0.337012
23244	220500.000000	157500.000000	115.8	0.354239
23245	220500.000000	156500.000000	114.2	0.503038
23246	220500.000000	155500.000000	107.2	0.534820
23247	220500.000000	154500.000000	113.3	0.521841
23248	220500.000000	153500.000000	120.8	0.521687
23249	220500.000000	152500.000000	126.4	0.372353
23250	220500.000000	151500.000000	131.9	0.293991
23251	220500.000000	150500.000000	139.1	0.285683
23252	220500.000000	149500.000000	145.6	0.269665
23253	220500.000000	148500.000000	150.4	0.287245
23254	220500.000000	147500.000000	158.9	0.305453
23255	220500.000000	146500.000000	170.3	0.324023
23256	220500.000000	145500.000000	176.5	0.410453
23257	220500.000000	144500.000000	177.7	0.455017
23258	220500.000000	143500.000000	177.0	0.473969
23259	220500.000000	142500.000000	182.1	0.538645
23260	220500.000000	141500.000000	194.1	0.631107
23261	220500.000000	140500.000000	197.7	0.619300
23262	220500.000000	139500.000000	184.8	0.579065
23263	220500.000000	138500.000000	156.2	0.465003
23264	220500.000000	137500.000000	79.9	0.261506
23265	220500.000000	136500.000000	95.6	0.191053
23266	220500.000000	135500.000000	132.4	0.250606
23267	220500.000000	134500.000000	180.0	0.354829
23268	220500.000000	133500.000000	196.0	0.412843
23269	220500.000000	132500.000000	211.4	0.457037
23270	220500.000000	131500.000000	227.3	0.450503
23271	220500.000000	130500.000000	242.8	0.395829
23272	220500.000000	129500.000000	244.7	0.351983
23273	220500.000000	128500.000000	257.1	0.336479
23274	220500.000000	127500.000000	264.5	0.320959
23275	220500.000000	126500.000000	264.9	0.327009
23276	220500.000000	125500.000000	250.3	0.371112
23277	220500.000000	124500.000000	236.0	0.387722
23278	220500.000000	123500.000000	240.0	0.383817
23279	220500.000000	122500.000000	255.1	0.416174
23280	220500.000000	121500.000000	269.9	0.370671
23281	220500.000000	120500.000000	283.3	0.356440
23282	220500.000000	119500.000000	297.4	0.400064
23283	220500.000000	118500.000000	287.6	0.402283
23284	220500.000000	117500.000000	294.7	0.444481
23285	220500.000000	116500.000000	287.0	0.469062
23286	220500.000000	115500.000000	310.2	0.458704
23287	220500.000000	114500.000000	321.5	0.449451
23288	220500.000000	113500.000000	261.7	0.424162
23289	220500.000000	112500.000000	248.5	0.404305
23290	220500.000000	111500.000000	253.4	0.394766
23291	220500.000000	110500.000000	256.9	0.368697
23292	220500.000000	109500.000000	258.0	0.359949
23293	220500.000000	108500.000000	228.8	0.312270
23294	220500.000000	107500.000000	185.9	0.230399
23295	220500.000000	106500.000000	202.9	0.206379
23296	220500.000000	105500.000000	200.1	0.355922
23297	220500.000000	104500.000000	183.9	0.482534
23298	220500.000000	103500.000000	188.9	0.570744
23299	220500.000000	102500.000000	193.8	0.630197
23300	220500.000000	101500.000000	210.1	0.552683
23301	220500.000000	100500.000000	222.3	0.458618
23302	220500.000000	99500.000000	254.7	0.440493
23303	220500.000000	98500.000000	302.3	0.417699
23304	220500.000000	97500.000000	315.0	0.400241
23305	220500.000000	96500.000000	265.1	0.427986
23306	220500.000000	95500.000000	276.2	0.418305
23307	220500.000000	94500.000000	265.7	0.384009
23308	220500.000000	93500.000000	264.1	0.373591
23309	220500.000000	92500.000000	277.6	0.374404
23310	220500.000000	91500.000000	317.7	0.294978
23311	220500.000000	90500.000000	343.1	0.247155
23312	220500.000000	89500.000000	365.0	0.176533
23313	220500.000000	88500.000000	356.9	0.103015
23314	220500.000000	87500.000000	302.0	0.107836
23315	220500.000000	86500.000000	312.3	0.095636
23316	220500.000000	85500.000000	319.2	0.086081
23317	220500.000000	84500.000000	354.7	0.049571
23318	220500.000000	83500.000000	401.6	0.060114
23319	220500.000000	82500.000000	456.1	0.161940
23320	220500.000000	81500.000000	495.6	0.308038
23321	220500.000000	80500.000000	474.5	0.400293
23322	220500.000000	79500.000000	424.3	0.433279
23323	220500.000000	78500.000000	410.8	0.386968
23324	220500.000000	77500.000000	387.0	0.285938
23325	220500.000000	76500.000000	443.5	0.207296
23326	220500.000000	75500.000000	442.8	0.144885
23327	220500.000000	74500.000000	434.6	0.107598
23328	220500.000000	73500.000000	437.6	0.067786
23329	220500.000000	72500.000000	415.9	0.038538
23330	220500.000000	71500.000000	424.9	0.037661
23331	220500.000000	70500.000000	434.0	0.095452
23332	220500.000000	69500.000000	445.7	0.242726
23333	220500.000000	68500.000000	485.3	0.368124
23334	220500.000000	67500.000000	487.7	0.478776
23335	220500.000000	66500.000000	488.6	0.518938
23336	220500.000000	65500.000000	482.1	0.421650
23337	220500.000000	64500.000000	474.8	0.309771
23338	220500.000000	63500.000000	464.5	0.202747
23339	220500.000000	62500.000000	474.6	0.205743
23340	220500.000000	61500.000000	467.8	0.308372
23341	220500.000000	60500.000000	457.4	0.405999
23342	220500.000000	59500.000000	420.2	0.454279
23343	220500.000000	58500.000000	402.4	0.426666
23344	220500.000000	57500.000000	391.1	0.443069
23345	220500.000000	56500.000000	390.2	0.426805
23346	220500.000000	55500.000000	382.5	0.378141
23347	220500.000000	54500.000000	410.4	0.315230
23348	220500.000000	53500.000000	415.5	0.177032
23349	220500.000000	52500.000000	411.1	0.067902
23350	220500.000000	51500.000000	417.7	0.018840
23351	220500.000000	50500.000000	430.0	0.000000
23352	220500.000000	49500.000000	421.2	0.037109
23353	220500.000000	48500.000000	410.8	0.105413
23354	220500.000000	47500.000000	376.4	0.186557
23355	220500.000000	46500.000000	335.5	0.320998
23356	220500.000000	45500.000000	361.8	0.416357
23357	220500.000000	44500.000000	332.7	0.479175
23358	220500.000000	43500.000000	307.9	0.527698
23359	220500.000000	42500.000000	317.3	0.452296
23360	220500.000000	41500.000000	347.5	0.333745
