ID	X	Y	ALT	BETA
74	26500.000000	176500.000000	6.9	0.397426
75	26500.000000	175500.000000	11.8	0.395935
76	26500.000000	174500.000000	13.7	0.401130
77	26500.000000	173500.000000	14.9	0.405632
78	26500.000000	172500.000000	13.6	0.416978
79	26500.000000	171500.000000	18.3	0.439373
80	27500.000000	202500.000000	0.0	0.251969
81	27500.000000	201500.000000	0.0	0.367773
82	27500.000000	200500.000000	0.0	0.430093
83	27500.000000	199500.000000	4.9	0.452228
84	27500.000000	198500.000000	9.1	0.424101
85	27500.000000	197500.000000	10.4	0.394434
86	27500.000000	196500.000000	2.0	0.411424
87	27500.000000	195500.000000	1.8	0.384112
88	27500.000000	194500.000000	-0.1	0.397624
89	27500.000000	193500.000000	-0.7	0.381905
90	27500.000000	192500.000000	-0.7	0.358360
91	27500.000000	191500.000000	-0.7	0.346351
92	27500.000000	190500.000000	-0.1	0.341352
93	27500.000000	189500.000000	1.1	0.367798
94	27500.000000	188500.000000	1.7	0.388121
95	27500.000000	187500.000000	2.8	0.399905
96	27500.000000	186500.000000	2.7	0.404033
97	27500.000000	185500.000000	7.9	0.407214
98	27500.000000	184500.000000	10.0	0.397849
99	27500.000000	183500.000000	13.7	0.397413
100	27500.000000	182500.000000	13.8	0.384671
101	27500.000000	181500.000000	12.4	0.352873
102	27500.000000	180500.000000	10.2	0.348647
103	27500.000000	179500.000000	12.8	0.351704
104	27500.000000	178500.000000	6.3	0.361902
105	27500.000000	177500.000000	3.6	0.375792
106	27500.000000	176500.000000	5.7	0.372389
107	27500.000000	175500.000000	6.8	0.367069
108	27500.000000	174500.000000	8.2	0.369983
109	27500.000000	173500.000000	8.6	0.380529
110	27500.000000	172500.000000	10.4	0.393258
111	27500.000000	171500.000000	14.3	0.413443
112	27500.000000	170500.000000	16.3	0.404549
113	27500.000000	169500.000000	17.5	0.416828
114	27500.000000	168500.000000	27.8	0.427153
115	28500.000000	202500.000000	0.0	0.302016
116	28500.000000	201500.000000	0.0	0.412529
117	28500.000000	200500.000000	2.2	0.475753
118	28500.000000	199500.000000	8.3	0.476679
119	28500.000000	198500.000000	8.7	0.432145
120	28500.000000	197500.000000	3.2	0.392853
121	28500.000000	196500.000000	0.8	0.379474
122	28500.000000	195500.000000	0.7	0.364375
123	28500.000000	194500.000000	0.1	0.371061
124	28500.000000	193500.000000	-0.1	0.364487
125	28500.000000	192500.000000	-0.1	0.361184
126	28500.000000	191500.000000	-0.3	0.351395
127	28500.000000	190500.000000	0.0	0.340432
128	28500.000000	189500.000000	3.1	0.348309
