ID	LAMBX	LAMBY	ALT	BETA
302	238463	45036	360.1	0.0608161
303	235449	45245	352.2	0.131343
304	232436	45453	349.9	0.0615762
305	229424	45661	348.3	0.0573268
306	241687	47878	411.3	0.189376
307	238677	48085	402.1	0.0407188
308	235665	48294	410.1	0.0378876
309	232651	48502	413.4	0.0206058
310	229640	48710	419.4	0.000528138
311	241895	50927	456.2	0.0180745
312	238884	51136	444.5	0.0419555
313	235874	51343	442.5	0.049245
314	232862	51552	419.5	0.0769913
315	229849	51761	431.7	0.024039
316	242108	53976	459.2	0.0856713
317	239096	54185	447.9	0.0232872
318	236088	54393	446.1	0.0496257
319	233074	54602	417.4	0.10515
320	230057	54809	426.4	0.089924
321	240196	26522	244.2	0.0761737
322	237185	26731	267.5	0.359594
323	234173	26939	244.6	0.176004
324	231160	27147	228.9	0.209877
325	228150	27355	280.2	0.0408149
326	240410	29574	267.8	0.0693798
327	237398	29782	245.4	0.126002
328	234385	29991	246.6	0.264421
329	231372	30199	248.4	0.105885
330	228361	30407	271.1	0.0932525
331	240626	32625	280.5	0.00702502
332	237612	32834	289.7	0.0324099
333	234602	33041	307.0	0.00769892
334	231591	33250	279.6	0.0611431
335	228578	33458	297.5	0.0241236
336	240837	35677	325.9	0
337	237823	35885	332.8	0.0197497
338	234812	36095	337.6	0
339	231802	36302	328.8	0.00107815
340	228789	36509	327.8	0
341	241049	38728	352.0	0.00240587
342	238037	38937	347.5	0.098478
343	235022	39146	352.1	0.0465055
344	232010	39353	361.6	0.100358
345	228999	39562	352.7	0.0527389
346	239134	11254	268.1	0.115907
347	236125	11462	248.0	0.13843
348	233112	11671	232.3	0.113013
349	230101	11880	255.5	0.0771023
350	227093	12087	230.0	0.0607032
351	239345	14308	264.6	0.28082
352	236336	14517	267.4	0.0815079
353	233325	14724	268.9	0.128058
354	230314	14933	234.5	0.174939
355	227304	15141	255.6	0.266397
356	239559	17362	291.1	0.170273
357	236549	17571	275.5	0.110323
358	233537	17779	274.2	0.130012
359	230529	17986	251.5	0.155225
360	227520	18195	275.6	0.146731
361	239772	20416	357.2	0.152556
362	236762	20623	329.9	0.074259
363	233750	20833	279.7	0.122295
364	230741	21041	248.4	0.0908529
365	227732	21248	248.4	0.0884725
366	239985	23469	352.6	0.0875567
367	236975	23678	362.7	0.157758
368	233964	23886	346.8	0.0319807
369	230952	24095	257.0	0.106205
370	227941	24302	239.2	0.103096
371	258461	71247	465.3	0.0311363
372	255446	71458	434.7	0.0191513
373	252433	71667	475.3	0.0932622
374	249420	71876	491.9	0.020061
375	246404	72086	497.7	0.0318704
376	257389	55981	415.7	0.0353985
377	254376	56190	456.5	0.0245702
378	251362	56400	448.2	0.0550239
379	248350	56609	466.8	0.0648984
380	245339	56818	483.1	0
381	257605	59034	477.6	0.0366373
382	254591	59244	484.2	0.00349122
383	251578	59453	477.8	0.106134
384	248564	59664	418.4	0.116597
385	245552	59872	423.9	0.0291686
386	257821	62088	473.4	0.0762381
387	254805	62297	421.6	0.0348996
388	251793	62507	420.5	0.0646403
389	248780	62716	427.7	0.00245767
390	245768	62926	441.5	0.0201691
391	258034	65141	423.9	0.0371258
392	255017	65352	413.0	0.0722569
393	252003	65561	414.3	0.0337152
394	248992	65771	436.0	0.00616642
395	245979	65979	449.1	0.0334333
396	258247	68195	386.2	0.00078342
397	255230	68404	402.9	0
398	252216	68615	446.6	0.0769748
399	249203	68824	443.7	0.0193549
400	246188	69033	473.7	0.0408873
401	256319	40733	360.8	0.225385
402	253309	40943	399.5	0.35415
403	250298	41152	384.5	0.0961353
404	247285	41360	370.3	0.0825436
405	244271	41570	350.2	0.105938
406	256535	43782	366.4	0.161351
407	253523	43991	386.0	0.36079
408	250510	44201	386.2	0.377604
409	247498	44411	364.1	0.291108
410	244485	44619	373.4	0.11469
411	256749	46830	337.3	0.0780102
412	253738	47041	349.2	0.123031
413	250726	47250	345.6	0.0921781
414	247712	47459	351.0	0.0586977
415	244699	47668	414.1	0.00692838
416	256961	49880	296.6	0.0519916
417	253950	50090	311.5	0.0683771
418	250936	50299	337.4	0.170344
419	247922	50509	408.6	0.083217
420	244909	50718	452.9	0
421	257173	52929	323.4	0.129638
