ID	XLAMB	YLAMB	ALT	CorineID
168	162000	582000	0	0.012057
169	166000	582000	0	0.009246
170	170000	582000	0	0.000304
171	174000	582000	0	0.027769
172	178000	582000	0	0.158117
173	182000	582000	0	0.13768
174	186000	582000	-1	0.050496
175	190000	582000	0	0.038055
176	194000	582000	0	0.050557
177	198000	582000	0	0.040419
178	202000	582000	0	0.021703
179	206000	582000	0	0.008043
180	210000	582000	0	0.008638
181	214000	582000	0	0.021234
182	218000	582000	0	0.01362
183	222000	582000	0	0.001557
184	226000	582000	0	0.00137
185	230000	582000	0	0.181513
186	234000	582000	1	0.344062
187	238000	582000	0	0.1501
188	242000	582000	-1	0.016695
189	246000	582000	-1	0.000738
190	250000	582000	-1	0.020776
191	254000	582000	-2	0.002434
192	258000	582000	-2	0.000111
193	262000	582000	-1	0
194	266000	582000	0	0.007884
195	270000	582000	0	0.004856
196	274000	582000	-1	0.000152
197	278000	582000	0	0.004537
198	118000	578000	0	0.058124
199	122000	578000	0	0.067305
200	158000	578000	0	0.143718
201	162000	578000	0	0.0297
202	166000	578000	0	0.123237
203	170000	578000	0	0.006675
204	174000	578000	0	0.015532
205	178000	578000	0	0.063414
206	182000	578000	0	0.240821
207	186000	578000	-1	0.163526
208	190000	578000	-1	0.000664
209	194000	578000	0	0.070131
210	198000	578000	0	0.04979
211	202000	578000	1	0.037177
212	206000	578000	0	0.049927
213	210000	578000	0	0.01194
214	214000	578000	0	0.010447
215	218000	578000	0	0.004257
216	222000	578000	0	0.048521
217	226000	578000	0	0.00791
218	230000	578000	0	0.014198
219	234000	578000	0	0.141732
220	238000	578000	0	0.12396
221	242000	578000	0	0.072761
222	246000	578000	0	0.116657
223	250000	578000	0	0.019258
224	254000	578000	0	0.030947
225	258000	578000	-1	0
226	262000	578000	0	0.063354
227	266000	578000	-2	0.004101
228	270000	578000	-1	0.033852
229	274000	578000	-1	0.012991
230	278000	578000	-1	0.008166
231	118000	574000	0	0.017797
232	122000	574000	0	0.041376
233	158000	574000	0	0.066821
234	162000	574000	0	0
235	166000	574000	0	0.004101
236	170000	574000	0	0.009096
237	174000	574000	0	0
238	178000	574000	0	0
239	182000	574000	0	0.005925
240	186000	574000	-1	0.008785
241	190000	574000	-1	0.019504
242	194000	574000	0	0.017546
243	198000	574000	0	0.008656
244	202000	574000	0	0.016726
245	206000	574000	2	0
246	210000	574000	2	0.00192
247	214000	574000	1	0.051825
248	218000	574000	1	0.003648
249	222000	574000	2	0.0924
250	226000	574000	0	0.088248
251	230000	574000	0	0.024235
252	234000	574000	1	0.064421
253	238000	574000	2	0.024774
254	242000	574000	0	0.035381
255	246000	574000	0	0.094999
256	250000	574000	0	0.075862
257	254000	574000	0	0.066814
258	258000	574000	-1	0.020822
259	262000	574000	-1	0.02096
260	266000	574000	0	0.197104
261	270000	574000	-1	0.002671
262	274000	574000	-2	0.003644
263	114000	570000	0	0.034951
264	118000	570000	0	0.042551
265	122000	570000	0	0.030236
266	154000	570000	0	0.074045
267	158000	570000	0	0.003793
268	162000	570000	0	0.011489
269	166000	570000	0	0.000913
270	170000	570000	0	0.01603
271	174000	570000	0	0
272	178000	570000	0	0.009543
273	182000	570000	0	0.005607
274	186000	570000	-1	0.005856
275	190000	570000	0	0.03317
276	194000	570000	0	0.017479
277	198000	570000	0	0.047833
278	202000	570000	1	0.259947
279	206000	570000	2	0.055815
280	210000	570000	2	0
281	214000	570000	3	0.006379
282	218000	570000	3	0.005918
283	222000	570000	4	0.013948
284	226000	570000	3	0.000166
285	230000	570000	2	0
286	234000	570000	3	0.088914
287	238000	570000	3	0.024489
288	242000	570000	0	0.036061
289	246000	570000	0	0
290	250000	570000	0	1.6E-05
291	254000	570000	0	0.247792
292	258000	570000	0	0.031905
293	262000	570000	0	0.04654
294	266000	570000	-1	0.019165
295	270000	570000	-1	0.008078
296	274000	570000	0	0.021107
297	278000	570000	0	0.001878
298	110000	566000	0	0.055551
299	114000	566000	0	0.009045
300	118000	566000	0	0
301	122000	566000	0	0.037709
302	150000	566000	0	0.068686
303	154000	566000	0	0.080004
304	158000	566000	0	0.001218
305	162000	566000	0	0.014356
306	166000	566000	0	0.021372
307	170000	566000	0	0.003346
308	174000	566000	0	0.001674
309	178000	566000	0	0
310	182000	566000	0	0.012109
311	186000	566000	0	0.043458
312	190000	566000	0	0.002694
313	194000	566000	-1	0.000152
314	198000	566000	-1	0.020295
315	202000	566000	1	0.055485
316	206000	566000	1	0.013522
317	210000	566000	3	0.001674
